month,category,account,amount_inr_lakhs
2025-07,Revenue,Product Revenue,522.71
2025-07,Revenue,Services Revenue,185.93
2025-07,COGS,Cost of Goods Sold,-313.67
2025-07,OPEX,Sales & Marketing,-124.34
2025-07,OPEX,Research & Development,-90.7
2025-07,OPEX,General & Administrative,-71.43
2025-07,Other,Interest Expense,-11.45
2025-08,Revenue,Product Revenue,505.85
2025-08,Revenue,Services Revenue,176.21
2025-08,COGS,Cost of Goods Sold,-296.97
2025-08,OPEX,Sales & Marketing,-116.79
2025-08,OPEX,Research & Development,-86.41
2025-08,OPEX,General & Administrative,-68.45
2025-08,Other,Interest Expense,-12.16
2025-09,Revenue,Product Revenue,477.06
2025-09,Revenue,Services Revenue,165.23
2025-09,COGS,Cost of Goods Sold,-279.93
2025-09,OPEX,Sales & Marketing,-109.0
2025-09,OPEX,Research & Development,-87.35
2025-09,OPEX,General & Administrative,-66.06
2025-09,Other,Interest Expense,-11.28
2025-10,Revenue,Product Revenue,512.96
2025-10,Revenue,Services Revenue,187.81
2025-10,COGS,Cost of Goods Sold,-305.56
2025-10,OPEX,Sales & Marketing,-120.92
2025-10,OPEX,Research & Development,-96.29
2025-10,OPEX,General & Administrative,-72.4
2025-10,Other,Interest Expense,-12.31
2025-11,Revenue,Product Revenue,556.08
2025-11,Revenue,Services Revenue,195.48
2025-11,COGS,Cost of Goods Sold,-334.48
2025-11,OPEX,Sales & Marketing,-122.59
2025-11,OPEX,Research & Development,-90.08
2025-11,OPEX,General & Administrative,-72.14
2025-11,Other,Interest Expense,-12.31
